DIVENUMBER,Date,Expedition,Leg,Dive,Site,Ocean,LargeMarineEcosystem,Country,FishCouncilRegion,Locality,SurveyID,Station,PI,PIAffiliation,Purpose,CruiseComments,EventID,SamplingEquipment,VehicleName,DataProvider,DataContact,Vessel,LocationAccuracy,WebSite,Citation
15040211,20150812,1504,2,11,Bank 9 North,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, south of Pearl and Hermes Atoll, Bank 9, North",EX1504L2,D2-EX1504L2-11,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-11,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040212,20150813,1504,2,12,Southeast Pearl & Hermes Ridge,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Pearl & Hermes Atoll, Southeast Ridge",EX1504L2,D2-EX1504L2-12,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-12,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040213,20150814,1504,2,13,East Pearl & Hermes,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Pearl & Hermes Atoll, East Unnamed Seamount",EX1504L2,D2-EX1504L2-13,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-13,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040214,20150815,1504,2,14,North Pioneer Ridge,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Pioneer Bank, North Ridge",EX1504L2,D2-EX1504L2-14,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-14,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040215,20150816,1504,2,15,North Maro Ridge,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Maro Reef, North Ridge",EX1504L2,D2-EX1504L2-15,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-15,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040216,20150817,1504,2,16,Gardner Terrace,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Gardner Pinnacles, North Reef Terrace",EX1504L2,D2-EX1504L2-16,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-16,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040217,20150818,1504,2,17,East North Gardner,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Gardner Pinnacles, North Ridge",EX1504L2,D2-EX1504L2-17,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-17,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040218,20150820,1504,2,18,West Nihoa,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Nihoa Island, West",EX1504L2,D2-EX1504L2-18,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L2-18,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040302,20150829,1504,3,2,Keahole off Kona Coast of the Big Island of Hawaii,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Main Hawaiian Islands, Hawaii Island, Keahole Pt",EX1504L3,D2-EX1504L3-02,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L3-02,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040303,20150830,1504,3,3,Kona Coast of the Big Island of Hawaiʻi,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Main Hawaiian Islands, Hawaii Island, Kona",EX1504L3,D2-EX1504L3-03,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L3-03,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040304,20150831,1504,3,4,McCall Seamount,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Hawaiian Archipelago, McCall Seamount",EX1504L3,D2-EX1504L3-04,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L3-04,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040305,20150901,1504,3,5,Swordfish Seamount,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Hawaiian Archipelago, Swordfish Seamount",EX1504L3,D2-EX1504L3-05,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L3-05,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040306,20150902,1504,3,6,Ellis Seamount,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Hawaiian Archipelago, Ellis Seamount",EX1504L3,D2-EX1504L3-06,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L3-06,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040307,20150903,1504,3,7,S-19 Submarine,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Main Hawaiian Islands, Oahu Island, Barbers Pt",EX1504L3,D2-EX1504L3-07,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L3-07,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040401,20150912,1504,4,1,South of Oahu,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Main Hawaiian Islands, Oahu Island, South",EX1504L4,D2-EX1504L4-01,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L4-01,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040402,20150913,1504,4,2,Southwest coast of Niihau,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Main Hawaiian Islands, Niihau Island, Southwest Pinnacle",EX1504L4,D2-EX1504L4-02,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L4-02,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040403,20150916,1504,4,3,"Karin Ridge, northeast of Johnston Atoll",North Pacific Ocean,NA,USA,Western Pacific,"Pacific Remote Islands Marine National Monument, Karin Ridge",EX1504L4,D2-EX1504L4-03,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L4-03,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040404,20150917,1504,4,4,Southeast Johnston,North Pacific Ocean,NA,USA,Western Pacific,"Pacific Remote Islands Marine National Monument, Johnston Atoll, Southeast",EX1504L4,D2-EX1504L4-04,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L4-04,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040405,20150918,1504,4,5,"Deep Twin Ridge, on the south side of the Johnston Seamounts",North Pacific Ocean,NA,USA,Western Pacific,"Pacific Remote Islands Marine National Monument, Johnston Seamounts, Deep Twin Ridge",EX1504L4,D2-EX1504L4-05,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L4-05,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040406,20150919,1504,4,6,"Twin Cones along an extension of Hutchinson Seamount, part of the Johnston Seamounts",North Pacific Ocean,NA,USA,Western Pacific,"Pacific Remote Islands Marine National Monument, Johnston Seamounts, Hutchinson Seamount Twin Cones",EX1504L4,D2-EX1504L4-06,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L4-06,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040407,20150920,1504,4,7,"Southernmost Cone,  the slopes of a pair of associated cones on an unnamed seamount",North Pacific Ocean,NA,USA,Western Pacific,"Pacific Remote Islands Marine National Monument, Unnamed Seamount, Southernmost Cone",EX1504L4,D2-EX1504L4-07,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L4-07,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040408,20150921,1504,4,8,"Lone Cone, the northeast slope of a cone feature on an unnamed seamount",North Pacific Ocean,NA,USA,Western Pacific,"Pacific Remote Islands Marine National Monument, Unnamed Seamount, Lone Cone",EX1504L4,D2-EX1504L4-08,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L4-08,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040409,20150922,1504,4,9,South Karin Ridge,North Pacific Ocean,NA,USA,Western Pacific,"Pacific Remote Islands Marine National Monument, Karin Ridge, South Ridge",EX1504L4,D2-EX1504L4-09,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L4-09,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040410,20150923,1504,4,10,Mid Karin Ridge,North Pacific Ocean,NA,USA,Western Pacific,"Pacific Remote Islands Marine National Monument, Karin Ridge, South Mid Ridge",EX1504L4,D2-EX1504L4-10,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L4-10,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040411,20150924,1504,4,11,Karin Ridge Top,North Pacific Ocean,NA,USA,Western Pacific,"Pacific Remote Islands Marine National Monument, Karin Ridge, South Ridge Crest",EX1504L4,D2-EX1504L4-11,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L4-11,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040412,20150925,1504,4,12,"Abyssal Ridge, a ridge feature west of Karin Ridge",North Pacific Ocean,NA,USA,Western Pacific,"Pacific Remote Islands Marine National Monument, Karin Ridge, West Abyssal Ridge",EX1504L4,D2-EX1504L4-12,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L4-12,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
15040413,20150926,1504,4,13,"Guyot Ridge, along the northwest end of the Karin Seamounts",North Pacific Ocean,NA,USA,Western Pacific,"Pacific Remote Islands Marine National Monument, Karin Seamounts, Northwest Guyot Ridge",EX1504L4,D2-EX1504L4-13,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1504L4-13,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16030001,20160227,1603,,1,Northeast Side of Necker Island,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Necker Island, Northeast",EX1603,D2-EX1603-01,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1603-01,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16030002,20160228,1603,,2,North Side of French Frigate Shoals,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, N. French Frigate Shoals, Submarine Canyon",EX1603,D2-EX1603-02,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1603-02,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16030003,20160302,1603,,3,South of Pioneer Bank,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Pioneer Bank, South Ridge",EX1603,D2-EX1603-03,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1603-03,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16030004,20160304,1603,,4,North Side of Pioneer Bank,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Pioneer Bank, North, Headwall Scarp",EX1603,D2-EX1603-04,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1603-04,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16030005,20160305,1603,,5,Unnamed Seamount East of Bank 9,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Unnamed Seamount East of Bank 9, Southwest Ridge",EX1603,D2-EX1603-05,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1603-05,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16030006,20160309,1603,,6,Unnamed Seamount West of Salmon Bank,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Unnamed Seamount West of Salmon Bank",EX1603,D2-EX1603-06,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1603-06,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16030007,20160310,1603,,7,Castellano Seamount,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Castellano Seamount, Southeast Ridge",EX1603,D2-EX1603-07,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1603-07,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16030008,20160311,1603,,8,Unnamed Seamount,North Pacific Ocean,Insular Pacific-Hawaiian,USA,Western Pacific,"Northwestern Hawaiian Islands, Unnamed Seamount, 180 nautical miles south of Midway Island",EX1603,D2-EX1603-08,,,Exploration of Deep Waters of Hawaii and in Pacific National Monuments,,D2-EX1603-08,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050101,20160421,1605,1,1,Santa Rosa North,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Santa Rosa Reef, North, Pinnacle",EX1605L1,D2-EX1605L1-01,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-01,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050102,20160422,1605,1,2,Santa Rosa South,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Santa Rosa Reef, South, Ridge",EX1605L1,D2-EX1605L1-02,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-02,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050103,20160423,1605,1,3,"""Sirena Canyon""",North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Sirena Canyon, Mariana Trench Wall",EX1605L1,D2-EX1605L1-03,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-03,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050104,20160424,1605,1,4,"""Enigma Seamount""",North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Enigma Seamount",EX1605L1,D2-EX1605L1-04,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-04,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050105,20160426,1605,1,5,Fina Nagu D,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Fina Nagu Volcanic Chain, Caldera D",EX1605L1,D2-EX1605L1-05,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-05,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050106,20160427,1605,1,6,Fina Nagu C,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Fina Nagu Volcanic Chain, Caldera C",EX1605L1,D2-EX1605L1-06,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-06,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050107,20160428,1605,1,7,Fina Nagu A,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Fina Nagu Volcanic Chain, Caldera A",EX1605L1,D2-EX1605L1-07,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-07,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050108,20160429,1605,1,8,Northwest Guam Seamount,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Northwest Guam Seamount",EX1605L1,D2-EX1605L1-08,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-08,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050109,20160430,1605,1,9,Young Lava Flows,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Mariana Back-arc Spreading Center, Young Lava Flows",EX1605L1,D2-EX1605L1-09,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-09,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050110,20160501,1605,1,10,Potential New Vent Field 1,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Mariana Back-arc Spreading Center, Potential New Vent Field 1",EX1605L1,D2-EX1605L1-10,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-10,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050111,20160502,1605,1,11,Hydrothermal Vent,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Hydrothermal Vent",EX1605L1,D2-EX1605L1-11,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-11,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050112,20160503,1605,1,12,Zealandia,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Marianas Trench Marine National Monument, Zealandia Bank",EX1605L1,D2-EX1605L1-12,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-12,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050113,20160504,1605,1,13,Kunanaf Hulo Mud Volcano,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Kunanaf Hulo Mud Volcano",EX1605L1,D2-EX1605L1-13,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-13,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050114,20160505,1605,1,14,Pigafetta Seamount,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Pigafetta Seamount, Guyot",EX1605L1,D2-EX1605L1-14,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-14,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050115,20160506,1605,1,15,Enrique Guyot,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Enrique Seamount, Guyot",EX1605L1,D2-EX1605L1-15,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-15,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050116,20160507,1605,1,16,Del Cano Guyot,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Del Cano Seamount, Guyot",EX1605L1,D2-EX1605L1-16,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-16,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050117,20160508,1605,1,17,Farallon de Medinilla,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Farallon de Medinilla",EX1605L1,D2-EX1605L1-17,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-17,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050118,20160509,1605,1,18,Esmeralda Bank,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Esmeralda Seamount, Bank",EX1605L1,D2-EX1605L1-18,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-18,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050119,20160510,1605,1,19,Esmeralda Bank Crater,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Southern Marianas, Marianas Trench Marine National Monument, Esmeralda Crater",EX1605L1,D2-EX1605L1-19,,,Deepwater Exploration of the Marianas,,D2-EX1605L1-19,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050301,20160618,1605,3,1,Farallon de Medinilla 2,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Farallon de Medinilla, Southern Ridge",EX1605L3,D2-EX1605L3-01,,,Deepwater Exploration of the Marianas,,D2-EX1605L3-01,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
16050302,20160619,1605,3,2,Pagan,North Pacific Ocean,NA,USA,Western Pacific,"Northern Mariana Islands, Marianas Trench Marine National Monument, Pagan Island, Northeast Ridge",EX1605L3,D2-EX1605L3-02,,,Deepwater Exploration of the Marianas,,D2-EX1605L3-02,ROV,Deep Discoverer,NOAA Office of Ocean Exploration and Research,Christopher Kelley,Okeanos Explorer,50,,
